epoch,accuracy,loss,val_accuracy,val_loss
0,0.502217591,1223.741455,0.598018408,2286.371094
1,0.500948071,1224.309448,0.596331775,2282.734131
2,0.500910103,1223.738403,0.594807267,2278.866699
3,0.501848698,1222.147583,0.593617737,2274.847656
4,0.503693283,1219.67749,0.592791736,2270.763184
5,0.506072342,1216.47937,0.59255302,2266.699707
6,0.509061694,1212.706787,0.592721224,2262.738281
7,0.512626112,1208.509033,0.593308508,2258.949463
8,0.516744673,1204.023682,0.594242334,2255.38623
9,0.5212816,1199.374756,0.595319986,2252.088379
0,0.653216541,1972.023071,0.60888809,2250.245117
1,0.639270008,1972.512451,0.610217273,2245.72998
2,0.628995776,1972.119141,0.611340344,2241.01416
3,0.622325957,1970.897705,0.612176538,2236.126465
4,0.618738472,1968.923584,0.612991691,2231.131836
5,0.617296696,1966.286743,0.61367321,2226.115723
6,0.617344141,1963.086304,0.614392757,2221.175049
7,0.618448198,1959.42749,0.614910185,2216.410156
8,0.620343685,1955.411865,0.615424931,2211.915527
9,0.62270844,1951.138306,0.615498841,2207.772461
0,0.539874971,3936.546143,0.694234908,1997.212524
1,0.541510701,3885.17334,0.694574654,1990.439819
2,0.543492317,3795.912842,0.695359945,1982.512329
3,0.545911312,3679.772705,0.696423352,1974.812134
4,0.548569083,3547.703857,0.697557926,1968.614502
5,0.551403821,3409.601074,0.698581934,1964.964233
6,0.554366708,3273.649414,0.699565947,1964.559814
7,0.557522237,3145.99585,0.700295031,1967.720703
8,0.560616076,3030.85376,0.70083344,1974.439819
9,0.563733578,2930.651367,0.701172531,1984.419922
0,0.712397575,1697.996338,0.735434294,1365.77063
1,0.712358236,1732.557617,0.735306144,1381.447998
2,0.712337911,1762.858154,0.735243738,1394.956177
3,0.7125054,1787.681396,0.73540175,1405.651001
4,0.712524414,1806.373779,0.735664189,1413.192749
5,0.712574601,1818.72583,0.736017525,1417.487549
6,0.712597668,1824.874634,0.73642242,1418.650757
7,0.712637663,1825.209717,0.736958802,1416.949097
8,0.712704778,1820.296875,0.737451196,1412.738037
9,0.712769926,1810.823242,0.738045931,1406.428101
0,0.607242823,2336.421631,0.573368311,2356.193115
1,0.607914925,2325.999023,0.572283924,2343.079102
2,0.609484851,2312.610352,0.568884254,2329.454102
3,0.612148046,2296.926758,0.563306332,2315.873291
4,0.615753829,2279.599365,0.555896699,2302.8479
5,0.620048702,2261.23999,0.547584355,2290.83667
6,0.625323474,2242.401123,0.540456831,2280.220947
7,0.631317794,2223.567871,0.534971774,2271.293457
8,0.6379686,2205.147949,0.531519234,2264.253662
9,0.645446122,2187.473633,0.528763175,2259.202148
0,0.511218965,3856.484375,0.601468921,1711.852783
1,0.507377088,3863.002441,0.600970447,1712.700806
2,0.50429821,3861.860107,0.600619197,1713.762329
3,0.501906991,3853.313965,0.600343823,1714.689697
4,0.500244796,3838.055176,0.600221097,1715.288696
5,0.499300122,3817.0625,0.60020411,1715.497314
6,0.499106169,3791.508301,0.600236654,1715.343018
7,0.499410659,3762.64209,0.600325525,1714.913696
8,0.500389278,3731.688232,0.600507975,1714.322266
9,0.501787663,3699.745605,0.600812435,1713.68457
0,0.562639713,2504.156738,0.636687577,2093.662354
1,0.561813712,2505.684326,0.636714697,2092.471924
2,0.560841203,2506.585693,0.636530876,2091.068848
3,0.559754789,2506.813965,0.635997832,2089.433594
4,0.558688045,2506.36377,0.635160327,2087.55127
5,0.557587326,2505.250977,0.633924723,2085.429932
6,0.556319833,2503.508057,0.632422566,2083.088135
7,0.554947257,2501.187256,0.630381286,2080.55249
8,0.553520381,2498.343018,0.628097177,2077.85083
9,0.551945686,2495.03833,0.625562906,2075.01416
0,0.592205107,1972.034912,0.641240776,1879.181396
1,0.590498865,1966.340088,0.6391927,1877.206665
2,0.589433432,1958.193115,0.638583064,1875.4729
3,0.58885771,1948.041992,0.638208687,1874.030518
4,0.588807523,1936.335571,0.637897432,1872.93042
5,0.589103878,1923.508057,0.637569189,1872.218018
6,0.589907527,1909.965088,0.637324333,1871.923828
7,0.59093833,1896.073975,0.637098551,1872.06604
8,0.592333972,1882.154907,0.636916101,1872.645142
9,0.593996882,1868.479248,0.636566162,1873.644775
0,0.689921081,2099.299316,0.636363387,2091.505127
1,0.689472139,2093.723389,0.636496961,2092.45459
2,0.689368367,2087.980713,0.636753321,2093.26001
3,0.689540625,2082.093506,0.637090385,2093.862549
4,0.690009892,2076.087646,0.637392879,2094.219238
5,0.690637231,2069.988281,0.637747526,2094.306152
6,0.691408277,2063.818604,0.638224959,2094.112305
7,0.692450643,2057.601318,0.638701022,2093.636963
8,0.693667293,2051.358643,0.639181197,2092.887207
9,0.694995105,2045.111938,0.639605045,2091.871582
0,0.595349133,2370.023926,0.569601774,2200.333252
1,0.594483078,2366.061523,0.570269108,2198.11084
2,0.59375,2361.849365,0.570734978,2195.921875
3,0.593362093,2357.420166,0.571063221,2193.75708
4,0.593261063,2352.809082,0.571195483,2191.616943
5,0.593294978,2348.048584,0.57121855,2189.509033
6,0.593576372,2343.172852,0.571078181,2187.444092
7,0.593945324,2338.213623,0.570844889,2185.434326
8,0.59437865,2333.202637,0.570558667,2183.489258
9,0.594833016,2328.170654,0.570289433,2181.621826
0,0.663375497,1745.166626,0.716150582,1787.844482
1,0.663524032,1743.462158,0.716163456,1786.930908
2,0.663943827,1741.077393,0.715753198,1786.424561
3,0.664602339,1738.103149,0.714910209,1786.282593
4,0.665389657,1734.640991,0.713588476,1786.472046
5,0.66631943,1730.791748,0.71176213,1786.966431
6,0.667395711,1726.652954,0.709439397,1787.745728
7,0.668557405,1722.313721,0.706637263,1788.788818
8,0.66977334,1717.856689,0.703209758,1790.074829
9,0.67104286,1713.350342,0.699330628,1791.578491
0,0.405258507,2410.741699,0.706296086,1830.729248
1,0.404621035,2409.5979,0.705750883,1830.46582
2,0.404944539,2406.770508,0.7049703,1829.83667
3,0.406175405,2402.454102,0.703769267,1828.906616
4,0.408045113,2396.874268,0.702385128,1827.765625
5,0.410717785,2390.27124,0.700422525,1826.512939
6,0.414117426,2382.887207,0.697111666,1825.24585
7,0.418107778,2374.954102,0.695115149,1824.052979
8,0.422760695,2366.685303,0.693096936,1823.008179
9,0.427864581,2358.268555,0.690287948,1822.168579
0,0.632921696,2061.630615,0.656205237,1736.628296
1,0.628534615,2061.629395,0.654855013,1737.24707
2,0.626093864,2061.119141,0.653793693,1737.770264
3,0.625240743,2060.065186,0.653232813,1738.1521
4,0.625720918,2058.467285,0.653228104,1738.379883
5,0.627381742,2056.352539,0.653767228,1738.467163
6,0.630143881,2053.767578,0.654604077,1738.443115
7,0.633763313,2050.77417,0.655653238,1738.348022
8,0.638167322,2047.442749,0.656871855,1738.224365
9,0.642934859,2043.847046,0.657985449,1738.112671
0,0.601360381,2191.89209,0.605048299,2177.351318
1,0.603543401,2189.709229,0.607121468,2175.715576
2,0.605739355,2186.753418,0.609094918,2173.577148
3,0.60811156,2183.151123,0.61095649,2171.044189
4,0.610601127,2179.021973,0.612751603,2168.213623
5,0.613143563,2174.479248,0.614334464,2165.170898
6,0.615823686,2169.624268,0.615546346,2161.987549
7,0.619095206,2164.546387,0.616552055,2158.724609
